drifter_id,segment_id,L,omega_ast_bar,sense,npoints,duration_hours,xi_bar,kappa_bar,rho_x
229,2142,2.983340,0.298901,ccw,245,245.0000,0.798242,8.553372,0.060575
228,2150,1.589949,0.368533,ccw,109,109.0000,0.863163,6.858323,0.054621
228,2150,2.962288,0.441194,ccw,155,155.0000,0.828591,6.432970,0.013289
247,2154,3.343252,0.280958,ccw,318,318.0000,0.775023,9.419709,0.064430
268,2155,1.593015,0.396838,ccw,102,102.0000,0.914091,6.649916,0.026289
277,2156,2.614108,0.294320,ccw,239,239.0000,0.781734,8.454863,0.098015
256,2157,2.535690,0.284268,ccw,230,230.0000,0.789350,8.764390,0.097143
250,2162,2.361334,0.280897,ccw,192,192.0000,0.805179,7.479017,0.094447
28,2173,2.298821,-0.067985,cw,941,941.0000,-0.931458,122.797027,0.093823
25,2176,2.505507,-0.077295,cw,919,919.0000,-0.969402,112.559015,0.025938
33,2177,2.380500,-0.063742,cw,1041,1041.0000,-0.947214,126.053929,0.063626
63705850,2188,1.881630,0.555249,ccw,100,100.0000,0.823598,4.165788,0.036475
63704970,2189,5.206862,0.370785,ccw,424,424.0000,0.913602,14.359030,0.000000
63705980,2190,2.748043,-0.126668,cw,547,547.0000,-0.978332,22.597660,0.014888
63705980,2190,3.076503,0.595988,ccw,131,131.0000,0.887038,6.667110,0.007513
63250690,2195,3.391389,0.554278,ccw,161,161.0000,0.649180,6.059254,0.078577
63250690,2195,2.388973,0.225632,ccw,270,270.0000,0.923594,16.525439,0.050676
64902870,2196,9.247642,0.250086,ccw,787,787.0000,0.815420,25.539045,0.000000
64901870,2197,4.853341,-0.024138,cw,3401,3401.0000,-0.850854,84.516064,0.006911
64901870,2197,4.298536,0.137352,ccw,848,848.0000,0.827605,24.171241,0.037250
64901870,2197,2.297822,0.609680,ccw,97,97.0000,0.787720,2.602315,0.098295
64901870,2197,1.646412,0.260686,ccw,154,154.0000,0.916830,10.449837,0.097980
64901870,2197,7.471496,0.207586,ccw,660,660.0000,0.834906,30.807565,0.000000
64903820,2198,4.691384,0.103256,ccw,1047,1047.0000,0.844251,67.318524,0.000000
64903820,2198,4.432964,0.060181,ccw,2017,2017.0000,0.953657,68.986711,0.000000
64903820,2198,5.754563,0.910106,ccw,163,163.0000,0.912772,4.899566,0.000000
64903820,2198,4.429878,0.469944,ccw,229,229.0000,0.785061,7.031728,0.004064
64903820,2198,2.762987,0.644398,ccw,115,115.0000,0.793397,6.710003,0.065235
64903820,2198,6.235805,0.208810,ccw,817,817.0000,0.838578,17.868564,0.000000
64903820,2198,5.609279,0.431915,ccw,349,349.0000,0.838719,5.662298,0.000000
64903820,2198,12.559966,0.607175,ccw,497,497.0000,0.942048,7.247354,0.000000
64903820,2198,4.515544,0.213702,ccw,554,554.0000,0.925277,9.449765,0.000000
64903820,2198,2.627858,0.098092,ccw,750,750.0000,0.966196,30.180928,0.000000
64010410,2199,2.381409,-0.028808,cw,2539,2539.0000,-0.933806,125.793871,0.080750
66615910,2205,6.874767,-0.072535,cw,2893,2893.0000,-0.884780,85.314239,0.000000
64501650,2206,3.331739,-0.202182,cw,424,424.0000,-0.909042,16.905953,0.054174
65380700,2207,5.464034,0.516317,ccw,296,296.0000,0.640387,4.074957,0.036331
65949910,2210,4.057483,-0.055071,cw,2138,2138.0000,-0.850309,96.342808,0.020779
65949910,2210,7.163120,-0.116472,cw,1540,1540.0000,-0.906002,60.398081,0.000000
65949910,2210,2.170763,0.498309,ccw,107,107.0000,0.831644,3.487191,0.029861
65311630,2213,3.753736,-0.096807,cw,1026,1026.0000,-0.878067,83.943397,0.030354
65311630,2213,9.804136,0.686680,ccw,316,316.0000,0.675630,3.373943,0.006096
65311660,2219,3.649252,-0.116682,cw,870,870.0000,-0.916931,73.795227,0.010507
180,2232,3.064191,-0.449714,cw,176,176.0000,-0.885920,5.461271,0.080765
241,2336,2.505369,-0.444907,cw,137,137.0000,-0.959437,6.084086,0.054277
262,2374,2.112119,-0.378756,cw,133,133.0000,-0.937885,8.759741,0.044231
421,2383,1.636994,0.382941,ccw,72,72.0000,0.792890,3.306617,0.098536
331,2431,3.142844,0.668859,ccw,117,117.0000,0.846526,3.356775,0.010901
156,2440,1.827073,0.389166,ccw,112,112.0000,0.834713,4.117964,0.051417
